                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0653,                  1.762,                0.88748,                0.86268,                0.58825,                0.65823,                0.38055,                 1.1603,                 1.1884,                0.86333,               0.070682,              0.0032576,              0.0032576
                      1,                 1.0706,                0.74104,                0.86339,                0.67096,                0.60953,                0.57249,                0.35696,                 1.0769,                0.63728,                 0.8318,                0.04066,              0.0065692,              0.0065692
                      2,                 1.2381,                0.82993,                0.89851,                0.89212,                0.56584,                0.61492,                 0.3131,                 1.4197,                  1.013,                0.89517,               0.010616,              0.0098587,              0.0098587
                      3,                 1.3301,                0.79617,                0.91478,                0.70813,                0.53661,                0.50522,                0.25983,                 1.4302,                 7.7788,                0.92454,               0.009901,               0.009901,               0.009901
                      4,                 1.2543,                0.77606,                 0.9192,                0.82989,                0.54502,                0.56502,                0.30463,                 1.2222,                 4.1357,                0.89714,               0.009901,               0.009901,               0.009901
                      5,                 1.2385,                0.66306,                0.90997,                0.88665,                0.59161,                0.65215,                0.37413,                 1.2563,                 0.9628,                0.89378,               0.009868,               0.009868,               0.009868
                      6,                 1.1936,                0.62468,                0.90043,                0.84347,                0.57572,                0.66772,                0.38844,                  1.334,                0.99521,                0.89423,               0.009835,               0.009835,               0.009835
                      7,                  1.134,                0.61302,                0.88957,                 0.9112,                0.57895,                0.64904,                 0.4077,                 1.1506,                 1.0311,                0.87234,               0.009802,               0.009802,               0.009802
                      8,                  1.114,                  0.605,                0.88706,                0.89135,                0.60144,                0.65763,                0.42393,                  1.165,                 1.3791,                0.88066,               0.009769,               0.009769,               0.009769
                      9,                 1.0779,                0.56535,                0.87953,                0.92893,                0.64586,                0.72193,                0.46813,                 1.0918,                0.59682,                0.87834,               0.009736,               0.009736,               0.009736
                     10,                 1.1008,                0.56804,                0.87693,                0.92174,                0.61705,                0.69256,                0.45103,                 1.1613,                0.72186,                0.90138,               0.009703,               0.009703,               0.009703
                     11,                 1.0558,                0.57925,                0.87658,                0.92541,                0.59544,                0.72001,                0.47377,                 1.1118,                0.56301,                0.87366,                0.00967,                0.00967,                0.00967
                     12,                 1.0348,                0.53411,                0.87326,                 0.9259,                0.62999,                0.70861,                0.46596,                0.99479,                0.72379,                0.85321,               0.009637,               0.009637,               0.009637
                     13,                0.99385,                0.51431,                0.87043,                0.94842,                0.64012,                0.76469,                0.55728,                0.86253,                   0.47,                0.85621,               0.009604,               0.009604,               0.009604
                     14,                 1.0005,                0.51859,                0.87473,                0.93463,                0.63625,                0.75351,                 0.5406,                0.90286,                0.54371,                0.85766,               0.009571,               0.009571,               0.009571
                     15,                0.96597,                0.50734,                0.86366,                0.93688,                0.63505,                0.71353,                0.48758,                0.96186,                 0.6437,                0.85683,               0.009538,               0.009538,               0.009538
                     16,                0.97416,                0.50868,                0.87137,                0.90684,                0.66267,                0.72346,                0.49753,                0.92252,                0.79594,                0.85282,               0.009505,               0.009505,               0.009505
                     17,                0.94996,                0.51323,                0.86169,                 0.9472,                0.63866,                0.72983,                0.50642,                0.88857,                0.48533,                0.84218,               0.009472,               0.009472,               0.009472
                     18,                0.92055,                0.47991,                0.84969,                0.94413,                0.63025,                 0.7096,                0.50436,                0.91304,                0.67104,                 0.8501,               0.009439,               0.009439,               0.009439
                     19,                0.93106,                 0.4898,                0.86239,                0.90442,                0.64749,                0.71693,                0.50091,                0.98492,                0.49566,                0.85909,               0.009406,               0.009406,               0.009406
                     20,                0.92064,                0.46867,                0.84556,                0.94791,                0.66387,                0.77308,                0.55912,                0.85652,                0.45968,                0.85112,               0.009373,               0.009373,               0.009373
                     21,                0.86466,                0.46666,                0.85007,                0.96897,                0.63986,                0.75453,                0.54524,                0.85186,                0.53585,                0.84759,                0.00934,                0.00934,                0.00934
                     22,                0.90454,                0.48661,                0.85122,                0.88529,                0.67467,                0.74508,                0.54226,                0.86823,                0.50092,                0.85461,               0.009307,               0.009307,               0.009307
                     23,                0.90158,                0.47529,                 0.8603,                0.94908,                0.68067,                0.77397,                0.55571,                0.82807,                0.48357,                0.83944,               0.009274,               0.009274,               0.009274
                     24,                0.87802,                0.45766,                0.85328,                0.93064,                0.68547,                0.76329,                 0.5357,                0.82798,                0.48741,                0.84558,               0.009241,               0.009241,               0.009241
                     25,                0.87565,                0.46212,                0.85366,                0.90851,                 0.6795,                0.76983,                0.55498,                  0.783,                0.66542,                0.83784,               0.009208,               0.009208,               0.009208
                     26,                0.88847,                0.46642,                0.85667,                0.90458,                0.68307,                0.74249,                0.53259,                0.79634,                0.51923,                0.83972,               0.009175,               0.009175,               0.009175
                     27,                0.86398,                0.45602,                0.85568,                0.94074,                0.69868,                0.80102,                0.59573,                0.83826,                0.46901,                0.84008,               0.009142,               0.009142,               0.009142
                     28,                0.84957,                0.44311,                0.83865,                0.95298,                0.68307,                0.76253,                 0.5543,                0.79413,                 0.4813,                0.83301,               0.009109,               0.009109,               0.009109
                     29,                0.85147,                0.45091,                0.84565,                0.92842,                0.68509,                0.75766,                0.56723,                0.74264,                0.47386,                0.83438,               0.009076,               0.009076,               0.009076
                     30,                0.84531,                0.44855,                0.84869,                0.93795,                0.68547,                0.79215,                 0.5889,                0.71029,                0.45674,                0.83046,               0.009043,               0.009043,               0.009043
                     31,                0.84014,                0.44039,                0.84275,                0.96145,                0.66867,                0.80979,                0.61406,                0.71547,                0.41683,                0.82971,                0.00901,                0.00901,                0.00901
                     32,                0.81636,                0.43067,                0.84366,                0.95581,                0.67227,                0.75843,                0.55531,                 0.8661,                0.51004,                0.86135,               0.008977,               0.008977,               0.008977
                     33,                0.82611,                 0.4293,                0.84522,                0.94976,                0.68427,                0.78314,                0.58536,                0.87155,                0.44828,                0.84882,               0.008944,               0.008944,               0.008944
                     34,                 0.8292,                0.43933,                0.84577,                0.92738,                0.66507,                0.74343,                0.55764,                0.76347,                 0.5572,                0.82701,               0.008911,               0.008911,               0.008911
                     35,                0.81757,                0.42474,                0.83836,                0.93701,                0.68788,                 0.7448,                0.55813,                0.71674,                0.48491,                0.82726,               0.008878,               0.008878,               0.008878
                     36,                0.81709,                0.43382,                0.83412,                0.92891,                0.69148,                0.76151,                0.57957,                0.72856,                0.47943,                0.81474,               0.008845,               0.008845,               0.008845
                     37,                0.79496,                 0.4233,                0.83974,                0.91979,                0.67827,                0.75904,                0.57162,                0.70868,                0.48857,                0.82634,               0.008812,               0.008812,               0.008812
                     38,                0.78973,                0.41705,                0.83339,                0.93847,                0.68908,                0.80219,                0.61328,                0.78658,                 0.4433,                0.84748,               0.008779,               0.008779,               0.008779
                     39,                0.80377,                0.42197,                0.83399,                0.94863,                0.68788,                0.80051,                0.60626,                0.86875,                0.43135,                 0.8416,               0.008746,               0.008746,               0.008746
                     40,                0.79025,                0.41803,                0.83148,                0.93061,                0.70348,                0.79582,                0.61083,                0.72049,                0.47646,                0.83186,               0.008713,               0.008713,               0.008713
                     41,                0.80335,                0.41916,                0.83037,                0.95192,                0.68547,                0.76983,                0.59056,                0.68115,                0.44181,                 0.8275,                0.00868,                0.00868,                0.00868
                     42,                0.77896,                0.40476,                0.83055,                0.95335,                0.69268,                0.80529,                 0.6189,                 0.7417,                 0.4129,                0.83219,               0.008647,               0.008647,               0.008647
                     43,                 0.7822,                0.41045,                0.84891,                0.93384,                0.69028,                0.78038,                0.59765,                0.65854,                0.50782,                 0.8252,               0.008614,               0.008614,               0.008614
                     44,                0.78517,                0.40944,                0.83394,                0.95079,                0.69591,                0.79506,                0.60645,                0.70627,                0.46083,                0.82116,               0.008581,               0.008581,               0.008581
                     45,                0.75697,                0.39927,                0.82891,                0.93627,                0.68547,                0.77997,                0.59611,                 0.7699,                0.44495,                 0.8517,               0.008548,               0.008548,               0.008548
                     46,                0.76993,                   0.41,                0.83324,                0.93417,                0.69268,                 0.8183,                0.64652,                0.73887,                0.40598,                 0.8259,               0.008515,               0.008515,               0.008515
                     47,                0.76584,                0.40614,                0.83883,                0.94652,                0.69988,                0.81301,                0.62733,                0.68188,                0.38452,                0.82264,               0.008482,               0.008482,               0.008482
                     48,                0.75736,                0.39742,                0.83246,                 0.9369,                 0.6952,                0.77759,                0.60268,                0.64878,                0.41324,                0.81626,               0.008449,               0.008449,               0.008449
                     49,                 0.7779,                0.39836,                 0.8307,                0.94956,                0.70054,                0.80776,                0.62881,                0.70209,                0.40673,                0.82847,               0.008416,               0.008416,               0.008416
                     50,                0.73233,                0.38994,                0.82468,                  0.943,                0.69988,                0.77596,                0.59063,                0.63969,                0.44278,                0.81304,               0.008383,               0.008383,               0.008383
                     51,                 0.7863,                0.40628,                 0.8349,                0.95153,                0.69508,                0.78121,                0.59407,                 0.6797,                0.36846,                0.81866,                   0.01,                   0.01,                   0.01
                     52,                 0.7715,                0.40497,                0.83316,                0.94246,                0.68818,                 0.8151,                0.62468,                0.66524,                0.39246,                0.81588,               0.009967,               0.009967,               0.009967
