                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1882,                 1.9819,                0.91796,                0.81323,                0.60488,                0.66704,                0.39686,                0.86474,                0.59015,                0.84804,               0.070682,              0.0032576,              0.0032576
                      1,                 1.1256,                0.78282,                 0.8972,                0.86209,                0.60241,                0.66282,                 0.3937,                 1.0232,                0.66055,                 0.8692,                0.04066,              0.0065692,              0.0065692
                      2,                 1.2794,                0.94482,                0.90552,                0.88259,                0.58331,                 0.6436,                0.35887,                 1.1536,                 1.7722,                0.90424,               0.010616,              0.0098587,              0.0098587
                      3,                 1.3352,                0.87858,                0.92181,                0.83189,                0.52645,                0.56439,                0.30288,                 1.2276,                 1.6361,                0.91939,               0.009901,               0.009901,               0.009901
                      4,                 1.3566,                0.83067,                0.92869,                0.40178,                0.16559,                0.13212,                0.05873,                 2.4543,                 7.0162,                 1.2571,               0.009901,               0.009901,               0.009901
                      5,                 1.3502,                0.78641,                0.92664,                0.89766,                0.58949,                0.62978,                0.36403,                 1.1798,                0.98532,                 0.9243,               0.009868,               0.009868,               0.009868
                      6,                 1.3031,                0.74746,                0.92469,                0.87007,                0.58669,                0.63229,                0.37644,                 1.1009,                0.89485,                0.91757,               0.009835,               0.009835,               0.009835
                      7,                 1.2792,                0.69812,                 0.9179,                0.92532,                0.58932,                0.69016,                0.40188,                 1.1882,                0.71225,                0.92369,               0.009802,               0.009802,               0.009802
                      8,                 1.2148,                 0.7009,                0.91765,                0.90346,                0.60907,                0.67059,                0.41014,                 1.0642,                0.79188,                0.89512,               0.009769,               0.009769,               0.009769
                      9,                 1.1691,                0.66108,                0.91457,                0.91882,                0.63749,                0.73789,                0.50025,                0.94559,                0.59493,                0.89789,               0.009736,               0.009736,               0.009736
                     10,                  1.173,                0.63915,                0.89602,                0.91355,                 0.6216,                0.67954,                0.42589,                 1.0084,                0.67519,                0.87758,               0.009703,               0.009703,               0.009703
                     11,                  1.115,                0.62417,                0.88217,                0.94873,                0.60701,                0.70732,                0.46339,                0.95103,                0.60344,                0.88874,                0.00967,                0.00967,                0.00967
                     12,                 1.1294,                 0.6182,                0.89003,                0.90746,                0.62596,                0.69848,                0.46252,                 0.9421,                0.64338,                0.88986,               0.009637,               0.009637,               0.009637
                     13,                 1.1084,                0.61862,                0.88516,                0.94717,                0.60951,                0.71007,                 0.4659,                0.95404,                0.64465,                0.88719,               0.009604,               0.009604,               0.009604
                     14,                 1.0648,                0.57778,                0.87873,                0.93268,                0.61327,                0.71348,                0.49242,                0.93604,                0.62004,                0.88158,               0.009571,               0.009571,               0.009571
                     15,                 1.0714,                0.57611,                 0.8757,                0.90682,                0.65332,                0.73921,                0.51392,                0.84694,                0.52178,                0.86066,               0.009538,               0.009538,               0.009538
                     16,                 1.0376,                0.56471,                0.87751,                 0.9594,                 0.5915,                0.72496,                0.51178,                0.83857,                0.51765,                0.85817,               0.009505,               0.009505,               0.009505
                     17,                 1.0401,                0.56478,                0.87468,                0.92911,                0.65457,                0.74529,                 0.5073,                0.86623,                 0.5386,                 0.8594,               0.009472,               0.009472,               0.009472
                     18,                  1.002,                0.54216,                0.87133,                0.95514,                0.61952,                0.75897,                 0.5426,                0.83873,                0.54604,                0.85761,               0.009439,               0.009439,               0.009439
                     19,                0.99938,                0.54807,                0.87566,                0.94303,                0.64456,                0.73739,                0.51256,                 0.8404,                0.54578,                0.86023,               0.009406,               0.009406,               0.009406
                     20,                 1.0133,                0.54364,                0.87321,                0.88154,                0.63705,                0.73814,                0.53702,                0.82599,                0.52923,                0.86881,               0.009373,               0.009373,               0.009373
                     21,                0.97967,                0.53054,                0.87269,                0.90819,                0.64376,                0.75903,                0.55598,                0.80525,                0.50466,                 0.8542,                0.00934,                0.00934,                0.00934
                     22,                 0.9997,                0.55949,                0.87441,                0.92933,                 0.6433,                0.73081,                0.52475,                0.83391,                0.55903,                0.87448,               0.009307,               0.009307,               0.009307
                     23,                0.98565,                0.53975,                0.87382,                0.91882,                0.65582,                0.75782,                0.53912,                0.81788,                0.53568,                0.86259,               0.009274,               0.009274,               0.009274
                     24,                0.96444,                0.51824,                0.86382,                0.95942,                0.64456,                0.75807,                0.54746,                0.74601,                0.49244,                0.84743,               0.009241,               0.009241,               0.009241
                     25,                0.96095,                0.51266,                0.87309,                0.93294,                0.65832,                0.76843,                0.55778,                0.75559,                0.47601,                0.84189,               0.009208,               0.009208,               0.009208
                     26,                0.93615,                0.51389,                0.86403,                0.88329,                0.69086,                0.74978,                0.54009,                0.77614,                0.48579,                 0.8524,               0.009175,               0.009175,               0.009175
                     27,                0.93013,                 0.5057,                0.86807,                0.89787,                0.66583,                0.76444,                0.55878,                0.78216,                0.52633,                0.85233,               0.009142,               0.009142,               0.009142
                     28,                0.91959,                0.49488,                0.85864,                0.93558,                0.65332,                0.73608,                0.53405,                0.78483,                0.50224,                0.86052,               0.009109,               0.009109,               0.009109
                     29,                0.94445,                0.50686,                0.86189,                0.92593,                0.67272,                0.74625,                0.54158,                0.74185,                0.48709,                 0.8559,               0.009076,               0.009076,               0.009076
                     30,                0.92232,                0.49465,                0.85724,                0.89139,                 0.6882,                0.75642,                0.55568,                0.72154,                0.49126,                0.84328,               0.009043,               0.009043,               0.009043
                     31,                0.92485,                0.50783,                 0.8563,                0.93988,                0.66458,                0.75322,                0.55505,                0.75548,                0.49961,                0.84701,                0.00901,                0.00901,                0.00901
                     32,                0.91884,                0.50366,                0.86283,                0.90942,                0.69337,                0.75734,                0.55188,                0.76259,                0.47781,                0.84389,               0.008977,               0.008977,               0.008977
                     33,                0.90299,                0.48611,                0.85219,                0.89846,                0.69086,                0.77489,                0.57134,                0.71944,                0.47216,                0.83554,               0.008944,               0.008944,               0.008944
                     34,                0.88057,                0.47436,                0.84676,                0.93174,                0.68461,                0.75688,                0.56417,                0.70722,                0.47298,                0.83563,               0.008911,               0.008911,               0.008911
                     35,                0.88944,                0.47006,                0.84924,                0.95723,                0.66583,                 0.7741,                 0.5857,                0.67247,                0.45893,                0.83591,               0.008878,               0.008878,               0.008878
                     36,                0.86312,                0.47023,                0.85115,                0.89629,                0.66708,                 0.7696,                0.58829,                0.71718,                0.47951,                0.84782,               0.008845,               0.008845,               0.008845
                     37,                0.87314,                0.46582,                0.84604,                 0.8934,                0.68961,                0.74606,                0.55987,                0.69687,                0.45123,                0.83835,               0.008812,               0.008812,               0.008812
                     38,                0.86386,                0.46827,                0.84712,                0.91014,                0.71214,                0.79527,                0.60737,                0.69877,                0.45425,                0.83688,               0.008779,               0.008779,               0.008779
