                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5425,                 2.1555,                0.97001,                0.95935,                0.92478,                0.94278,                0.53224,                 1.1578,                0.77547,                0.90041,               0.070682,              0.0032576,              0.0032576
                      1,                 1.3476,                0.77424,                0.93038,                0.89967,                0.90909,                0.91467,                0.51528,                  1.428,                0.88507,                0.93702,                0.04066,              0.0065692,              0.0065692
                      2,                 1.4598,                0.84134,                0.95886,                 0.9236,                0.91223,                0.92729,                0.46166,                 1.5547,                 1.4745,                0.94344,               0.010616,              0.0098587,              0.0098587
                      3,                 1.5037,                0.78208,                0.97054,                0.82164,                0.83542,                0.74877,                0.33455,                 1.5563,                 1.3678,                0.97967,               0.009901,               0.009901,               0.009901
                      4,                 1.5384,                  0.722,                0.97985,                0.88631,                0.91379,                0.91382,                0.54539,                 1.2752,                 6.2786,                0.94863,               0.009901,               0.009901,               0.009901
                      5,                 1.4715,                0.66984,                0.95731,                 0.9068,                0.91497,                0.91496,                0.46789,                 1.4834,                 3.7553,                0.96822,               0.009868,               0.009868,               0.009868
                      6,                 1.4235,                0.64075,                0.97136,                0.90228,                0.91693,                0.91856,                0.49654,                 1.3745,                 1.5516,                 0.9578,               0.009835,               0.009835,               0.009835
                      7,                 1.4292,                0.65062,                0.95619,                0.90412,                 0.9016,                0.92096,                0.52946,                  1.423,                0.64266,                0.94754,               0.009802,               0.009802,               0.009802
                      8,                 1.3886,                0.62662,                0.95478,                0.92469,                0.93574,                0.93284,                0.48355,                 1.4037,                0.75284,                0.94176,               0.009769,               0.009769,               0.009769
                      9,                 1.3323,                0.60744,                0.94875,                0.94029,                0.92633,                0.94247,                0.52569,                 1.3601,                0.71529,                 0.9432,               0.009736,               0.009736,               0.009736
                     10,                 1.3761,                0.61647,                0.93978,                0.94447,                0.93306,                0.95346,                 0.5481,                 1.2725,                0.61492,                0.92854,               0.009703,               0.009703,               0.009703
                     11,                 1.3228,                0.59255,                0.94026,                0.93582,                0.93699,                0.95272,                0.56032,                  1.186,                0.58041,                0.91162,                0.00967,                0.00967,                0.00967
                     12,                 1.3072,                0.59859,                0.93821,                0.94987,                0.91066,                0.94033,                0.54306,                 1.2414,                0.62174,                0.91691,               0.009637,               0.009637,               0.009637
                     13,                  1.305,                0.58636,                0.93283,                0.93328,                0.94274,                0.95508,                0.58693,                 1.2001,                0.54306,                0.91353,               0.009604,               0.009604,               0.009604
                     14,                 1.2912,                0.57211,                0.92465,                0.94215,                0.91893,                0.96455,                0.60634,                 1.3338,                0.54935,                0.93102,               0.009571,               0.009571,               0.009571
                     15,                 1.2739,                0.57351,                0.93064,                0.94827,                0.94984,                0.96543,                0.61356,                 1.1245,                0.54007,                0.91019,               0.009538,               0.009538,               0.009538
                     16,                 1.2715,                0.57242,                0.93457,                0.95434,                0.95141,                0.96013,                0.58711,                 1.2092,                 0.5498,                0.91842,               0.009505,               0.009505,               0.009505
                     17,                 1.2771,                0.57236,                0.92294,                0.95501,                0.94044,                0.96228,                0.59915,                  1.214,                0.53192,                0.90999,               0.009472,               0.009472,               0.009472
                     18,                 1.2693,                0.56967,                0.92404,                0.95137,                0.94044,                0.94922,                 0.5677,                 1.2646,                0.54416,                 0.9195,               0.009439,               0.009439,               0.009439
                     19,                 1.2473,                0.55229,                0.92303,                0.93185,                0.94301,                0.96401,                0.57284,                 1.2591,                0.63496,                0.92057,               0.009406,               0.009406,               0.009406
                     20,                 1.2527,                0.55992,                0.92709,                0.94138,                0.95644,                0.96608,                0.57638,                 1.2998,                0.51682,                0.92945,               0.009373,               0.009373,               0.009373
