                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2185,                 1.7537,                0.93252,                 0.8457,                0.84215,                0.91049,                0.55784,                 1.0513,                0.59423,                0.88591,               0.070682,              0.0032576,              0.0032576
                      1,                 1.1731,                 0.7965,                0.92434,                0.91307,                0.91945,                0.94587,                0.60455,                0.98859,                 1.2627,                0.88698,                0.04066,              0.0065692,              0.0065692
                      2,                 1.2871,                 0.8242,                0.92076,                0.87341,                0.82527,                0.88407,                0.47143,                 1.2775,                0.73426,                0.93392,               0.010616,              0.0098587,              0.0098587
                      3,                 1.3278,                0.77986,                0.93238,                0.89059,                0.85273,                 0.9045,                0.49492,                 1.2487,                0.91698,                0.95399,               0.009901,               0.009901,               0.009901
                      4,                  1.287,                0.67773,                0.93167,                0.86488,                0.80716,                0.85802,                0.46809,                 1.2925,                0.89694,                 0.9629,               0.009901,               0.009901,               0.009901
                      5,                 1.2818,                0.66493,                0.93701,                0.92635,                0.88771,                0.92912,                0.55725,                  1.163,                0.59637,                0.93356,               0.009868,               0.009868,               0.009868
                      6,                 1.2629,                0.64344,                0.93917,                0.88852,                0.78845,                0.85101,                0.48313,                 1.2037,                0.64505,                0.94813,               0.009835,               0.009835,               0.009835
                      7,                 1.2301,                0.63606,                 0.9334,                0.91336,                0.75834,                0.83689,                0.47999,                 1.2258,                0.70319,                0.95004,               0.009802,               0.009802,               0.009802
                      8,                 1.2196,                0.64495,                0.93123,                0.94347,                0.80553,                0.91219,                 0.5682,                 1.1179,                0.58819,                0.92268,               0.009769,               0.009769,               0.009769
                      9,                 1.2287,                0.62971,                0.93371,                0.94721,                0.86137,                0.93245,                0.58832,                 1.0694,                0.53826,                0.90251,               0.009736,               0.009736,               0.009736
                     10,                 1.1983,                0.61618,                0.91845,                0.92006,                0.85222,                0.91232,                0.54337,                 1.1178,                0.56637,                0.92077,               0.009703,               0.009703,               0.009703
                     11,                 1.2127,                0.60838,                 0.9259,                0.93016,                 0.8926,                0.95159,                 0.6001,                 1.0842,                0.53945,                0.90747,                0.00967,                0.00967,                0.00967
                     12,                 1.1776,                0.60221,                0.92146,                0.93315,                0.88771,                0.95395,                0.59562,                 1.0885,                0.54389,                0.91014,               0.009637,               0.009637,               0.009637
                     13,                  1.162,                0.56949,                 0.9235,                0.88451,                0.84751,                0.91621,                 0.5905,                 1.1088,                0.59818,                0.91388,               0.009604,               0.009604,               0.009604
                     14,                 1.1728,                0.58211,                0.91093,                0.96722,                0.90887,                0.96741,                0.62297,                 1.0569,                 0.5009,                0.90335,               0.009571,               0.009571,               0.009571
                     15,                 1.1661,                0.57586,                0.92222,                0.95407,                0.89572,                0.95019,                0.58974,                 1.0691,                0.52305,                0.90813,               0.009538,               0.009538,               0.009538
                     16,                 1.1426,                0.56231,                0.92254,                0.93943,                0.87632,                0.93919,                0.58382,                  1.056,                 0.5342,                0.90609,               0.009505,               0.009505,               0.009505
                     17,                 1.1354,                0.56501,                0.90838,                0.94054,                0.91212,                0.96369,                0.61598,                 1.0603,                 0.5064,                0.90952,               0.009472,               0.009472,               0.009472
                     18,                 1.1354,                0.54919,                0.90964,                0.94551,                0.94223,                0.97366,                0.62679,                 1.0306,                0.49847,                0.89495,               0.009439,               0.009439,               0.009439
                     19,                 1.1397,                0.55585,                0.91119,                 0.9464,                 0.9051,                0.95528,                0.61732,                 1.0443,                0.49401,                0.90169,               0.009406,               0.009406,               0.009406
                     20,                 1.1196,                0.54358,                0.91535,                 0.9321,                 0.9227,                0.95397,                0.61996,                 1.0167,                0.49319,                0.89155,               0.009373,               0.009373,               0.009373
                     21,                 1.1221,                0.54732,                0.91371,                0.94346,                0.92352,                0.96754,                0.62996,                 1.0215,                0.47026,                0.89484,                0.00934,                0.00934,                0.00934
                     22,                 1.1073,                0.53982,                0.90767,                0.94389,                0.91701,                0.96799,                0.62953,                 1.0378,                0.49845,                0.89143,               0.009307,               0.009307,               0.009307
                     23,                   1.12,                0.54606,                0.91367,                0.93458,                0.92994,                0.96254,                0.62423,                 1.0164,                0.49297,                0.89276,               0.009274,               0.009274,               0.009274
                     24,                 1.0983,                0.53586,                0.91175,                0.95675,                0.93595,                0.97186,                 0.6273,                 1.0246,                 0.4841,                0.89864,               0.009241,               0.009241,               0.009241
                     25,                 1.1035,                0.52926,                0.90474,                0.95194,                0.91872,                0.96818,                0.63004,                 1.0191,                0.47339,                0.89277,               0.009208,               0.009208,               0.009208
                     26,                 1.1172,                0.53579,                0.90485,                0.95403,                0.92866,                0.97719,                0.64182,                 1.0311,                0.47759,                0.89265,               0.009175,               0.009175,               0.009175
                     27,                 1.0964,                0.52621,                0.90525,                0.94825,                 0.9393,                0.97666,                0.64233,                 1.0187,                0.47809,                0.89128,               0.009142,               0.009142,               0.009142
                     28,                 1.0923,                0.51972,                0.90211,                  0.948,                0.93002,                0.97846,                0.62963,                0.99629,                0.46017,                0.89244,               0.009109,               0.009109,               0.009109
                     29,                 1.0813,                0.51728,                0.90063,                0.95088,                0.92928,                0.97168,                0.64233,                 1.0116,                0.46788,                0.89119,               0.009076,               0.009076,               0.009076
                     30,                 1.0746,                0.51277,                 0.8945,                0.95409,                0.91304,                0.97291,                0.64706,                 1.0044,                0.46668,                0.88584,               0.009043,               0.009043,               0.009043
                     31,                 1.0922,                0.51649,                0.90238,                0.93906,                0.92778,                0.96642,                0.63026,                0.99304,                0.48039,                0.88983,                0.00901,                0.00901,                0.00901
                     32,                 1.0665,                0.50868,                0.89287,                0.94257,                0.91863,                0.96456,                0.62268,                 1.0014,                0.45829,                0.88762,               0.008977,               0.008977,               0.008977
                     33,                 1.0606,                0.50495,                0.90157,                0.93389,                0.93328,                0.96845,                0.63247,                0.98946,                0.45464,                0.88266,               0.008944,               0.008944,               0.008944
                     34,                 1.0846,                0.51271,                0.90385,                0.95657,                0.94982,                 0.9794,                0.63618,                 0.9979,                0.44934,                0.88725,               0.008911,               0.008911,               0.008911
                     35,                 1.0687,                 0.5067,                0.89802,                  0.953,                0.94793,                0.97477,                0.65303,                0.98287,                0.45049,                0.88282,               0.008878,               0.008878,               0.008878
                     36,                 1.0709,                0.50852,                0.89727,                0.95858,                0.94155,                0.97719,                 0.6539,                0.97241,                0.45656,                0.88245,               0.008845,               0.008845,               0.008845
                     37,                 1.0497,                0.49566,                0.89792,                 0.9506,                0.95503,                0.98032,                0.65632,                0.97459,                0.44709,                 0.8825,               0.008812,               0.008812,               0.008812
                     38,                 1.0468,                0.49697,                0.89816,                0.94733,                0.93653,                0.96964,                0.65665,                 1.0067,                0.46168,                0.88752,               0.008779,               0.008779,               0.008779
                     39,                 1.0402,                0.50354,                0.89469,                0.95718,                0.92751,                0.97721,                0.64836,                0.99182,                0.45324,                0.88511,               0.008746,               0.008746,               0.008746
                     40,                 1.0501,                 0.5006,                0.89448,                0.94527,                0.94152,                0.97658,                0.64464,                 0.9998,                 0.4612,                0.88993,               0.008713,               0.008713,               0.008713
                     41,                 1.0498,                0.49269,                  0.904,                0.95778,                0.94133,                0.97858,                0.65399,                0.97937,                0.44318,                0.88049,                0.00868,                0.00868,                0.00868
                     42,                 1.0463,                0.48983,                0.90187,                0.95592,                0.94223,                0.97598,                0.66372,                0.97687,                0.44147,                0.88364,               0.008647,               0.008647,               0.008647
                     43,                 1.0366,                0.49378,                0.89207,                0.96566,                0.93409,                 0.9796,                0.66326,                0.98297,                0.44366,                0.88396,               0.008614,               0.008614,               0.008614
                     44,                 1.0363,                0.48837,                 0.8914,                 0.9554,                0.94133,                0.97589,                0.66257,                0.97047,                0.44658,                0.87901,               0.008581,               0.008581,               0.008581
                     45,                 1.0434,                0.49352,                0.89201,                0.94528,                 0.9463,                 0.9738,                0.65886,                0.96355,                0.43821,                0.87682,               0.008548,               0.008548,               0.008548
                     46,                 1.0533,                0.49339,                0.89374,                0.95176,                0.93103,                0.97739,                0.64654,                 1.0081,                0.45285,                0.89008,               0.008515,               0.008515,               0.008515
                     47,                 1.0273,                0.48673,                0.89363,                0.94378,                0.95617,                 0.9747,                0.65111,                0.99336,                0.45083,                0.89232,               0.008482,               0.008482,               0.008482
                     48,                 1.0498,                0.49687,                0.89539,                0.95427,                0.95362,                0.98228,                0.64841,                0.98408,                0.44442,                0.88588,               0.008449,               0.008449,               0.008449
                     49,                 1.0304,                0.48081,                0.88905,                0.95359,                0.95932,                0.98745,                0.66468,                0.96796,                0.43512,                0.88245,               0.008416,               0.008416,               0.008416
