                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0587,                 1.7529,                0.89218,                0.91982,                0.72805,                0.79769,                0.54215,                 0.6749,                0.47106,                0.81297,               0.070682,              0.0032576,              0.0032576
                      1,                 1.0525,                0.68592,                0.85902,                0.78009,                0.60133,                0.61971,                 0.3219,                 1.1699,                0.70086,                0.85696,                0.04066,              0.0065692,              0.0065692
                      2,                  1.172,                 0.8174,                0.87945,                0.85323,                0.63049,                0.69913,                  0.438,                0.89321,                 1.3299,                0.83124,               0.010616,              0.0098587,              0.0098587
                      3,                 1.2488,                0.79212,                0.90775,                0.80327,                0.66227,                0.65962,                0.34075,                 1.1885,                 1.0404,                0.88567,               0.009901,               0.009901,               0.009901
                      4,                   1.25,                  0.637,                0.91246,                0.74154,                0.63902,                0.63428,                0.32928,                 1.2318,                 2.0437,                0.90284,               0.009901,               0.009901,               0.009901
                      5,                 1.1594,                 0.5887,                0.90376,                0.62258,                0.57073,                0.45286,                0.23181,                 1.1687,                  2.058,                0.88067,               0.009868,               0.009868,               0.009868
                      6,                 1.1089,                0.57093,                0.89465,                0.42023,                0.61951,                0.32343,                0.19254,                0.86177,                  8.483,                0.83295,               0.009835,               0.009835,               0.009835
                      7,                 1.0809,                0.53371,                0.88676,                0.91571,                0.69512,                0.75561,                0.45785,                0.90984,                0.54218,                0.84906,               0.009802,               0.009802,               0.009802
                      8,                 1.0117,                0.50343,                0.87825,                0.93407,                0.72073,                0.78284,                0.51614,                0.80626,                0.51328,                0.83642,               0.009769,               0.009769,               0.009769
                      9,                0.98262,                 0.4979,                0.87208,                0.93113,                0.73415,                0.80802,                0.55529,                0.73849,                0.42522,                0.83196,               0.009736,               0.009736,               0.009736
                     10,                0.99808,                0.50271,                0.86825,                0.85939,                0.66098,                0.69835,                0.47542,                0.74085,                 1.5984,                0.83225,               0.009703,               0.009703,               0.009703
                     11,                0.95496,                0.48869,                0.87381,                0.88672,                0.71585,                0.74805,                0.53342,                0.68948,                0.80007,                0.82448,                0.00967,                0.00967,                0.00967
                     12,                0.95631,                0.48386,                0.86712,                0.90657,                0.72181,                0.77926,                0.54829,                0.72498,                0.50379,                0.82776,               0.009637,               0.009637,               0.009637
                     13,                0.92899,                0.46577,                0.87002,                0.91946,                0.74756,                0.81658,                0.57058,                0.68971,                0.49856,                0.81777,               0.009604,               0.009604,               0.009604
                     14,                0.91287,                0.44804,                0.86277,                 0.9539,                0.70122,                0.79332,                0.58024,                0.66405,                0.51263,                0.82175,               0.009571,               0.009571,               0.009571
                     15,                0.87579,                0.43555,                0.85684,                0.92987,                   0.76,                0.81835,                0.58559,                0.69282,                0.46116,                 0.8336,               0.009538,               0.009538,               0.009538
                     16,                0.85842,                0.42821,                0.85777,                 0.9383,                0.76041,                0.85285,                0.61673,                0.63438,                0.36757,                0.81772,               0.009505,               0.009505,               0.009505
                     17,                0.88871,                0.44872,                0.85598,                0.90217,                0.69878,                0.78095,                0.56213,                0.64218,                 0.6732,                0.81396,               0.009472,               0.009472,               0.009472
                     18,                0.86337,                 0.4314,                0.84435,                0.97643,                0.72195,                0.83024,                0.59928,                 0.6609,                0.39202,                0.81776,               0.009439,               0.009439,               0.009439
                     19,                0.87129,                0.43362,                0.85447,                0.93243,                0.75122,                0.81901,                0.60078,                0.62709,                0.40566,                0.80905,               0.009406,               0.009406,               0.009406
                     20,                0.85357,                0.42687,                0.83984,                0.96397,                0.71778,                0.81136,                0.60456,                0.61644,                 0.3765,                 0.8076,               0.009373,               0.009373,               0.009373
                     21,                0.88051,                0.43135,                0.84426,                0.96774,                0.71951,                 0.8252,                0.61816,                0.62669,                0.38321,                0.81323,                0.00934,                0.00934,                0.00934
                     22,                0.82889,                0.42296,                0.84545,                0.93132,                 0.7378,                0.83653,                0.61495,                0.60602,                0.37373,                0.81214,               0.009307,               0.009307,               0.009307
                     23,                0.86193,                0.42401,                0.84126,                 0.9604,                0.72439,                0.81883,                 0.6165,                0.64933,                0.37164,                0.81584,               0.009274,               0.009274,               0.009274
                     24,                0.83439,                0.42001,                0.84067,                0.95157,                0.74634,                0.83773,                0.63181,                0.59086,                0.36806,                0.80823,               0.009241,               0.009241,               0.009241
                     25,                0.83616,                0.42077,                0.84389,                0.96615,                0.70366,                0.80708,                0.61123,                0.61926,                0.38121,                0.81371,               0.009208,               0.009208,               0.009208
                     26,                0.83042,                0.42728,                0.84768,                0.97016,                0.72683,                0.83694,                0.65377,                 0.5667,                0.38162,                0.80667,               0.009175,               0.009175,               0.009175
                     27,                0.81592,                0.41133,                0.83406,                0.96262,                0.75366,                0.85061,                0.65292,                0.59137,                0.36507,                0.81218,               0.009142,               0.009142,               0.009142
                     28,                 0.8203,                0.41678,                0.83773,                0.92507,                0.74756,                0.84214,                0.64454,                0.57555,                0.40394,                0.80421,               0.009109,               0.009109,               0.009109
                     29,                0.80438,                 0.4047,                0.83564,                0.95565,                0.76214,                0.84366,                0.64779,                0.53499,                0.33641,                0.80435,               0.009076,               0.009076,               0.009076
                     30,                0.78843,                0.39553,                0.83679,                0.96103,                0.75191,                0.85651,                0.65303,                0.57227,                0.37029,                0.80784,               0.009043,               0.009043,               0.009043
